source_file,has_anomaly,alarm,F1_2_dataset,Acc_dataset,WS_dataset,criticality_max,PR_AUC,ROC_AUC
58.csv,0,0,0.0,0.99786438868126,,2,,
63.csv,0,0,0.0,0.9982646420824295,,1,,
44.csv,1,1,0.0,1.0,0.06798242311052205,202,,
36.csv,0,1,0.0,0.9349030470914127,,23,,
61.csv,0,1,0.0,0.9940495867768595,,12,,
9.csv,1,1,0.0,1.0,0.006860927607160799,6,,
80.csv,0,0,0.0,0.9970250743731407,,2,,
55.csv,1,1,0.0,1.0,0.010145092208676399,11,,
47.csv,1,1,0.0,1.0,0.18207863407262118,56,,
15.csv,1,0,0.0,1.0,0.005161266214036402,3,,
65.csv,0,0,0.0,0.9967242406194163,,3,,
81.csv,1,0,0.0,1.0,0.018455560951918408,4,,
76.csv,1,1,0.0,1.0,0.0737064597159949,20,,
5.csv,1,1,0.0,1.0,0.34002095808383237,292,,
59.csv,0,0,0.0,0.9959810010960906,,2,,
49.csv,1,0,0.0,1.0,0.005772957219555299,5,,
48.csv,0,0,0.0,0.9963463646328097,,2,,
94.csv,0,1,0.0,0.9755206430398247,,11,,
75.csv,0,0,0.0,0.9969452929741739,,2,,
78.csv,1,0,0.0,1.0,0.02824232081911263,2,,
91.csv,1,1,0.0,1.0,0.009858155289823617,11,,
11.csv,1,1,0.0,1.0,0.2517289050497509,112,,
39.csv,1,1,0.0,1.0,0.03548923679060665,8,,
70.csv,1,1,0.0,1.0,0.013342146693964867,6,,
54.csv,0,0,0.0,0.9940495867768595,,2,,
28.csv,1,1,0.0,1.0,0.0536019166780355,35,,
93.csv,0,0,0.0,0.9981889526109267,,3,,
46.csv,0,0,0.0,0.998056743101438,,3,,
43.csv,0,0,0.0,0.996529116853066,,3,,
8.csv,0,0,0.0,1.0,,0,,
33.csv,1,0,0.0,1.0,0.027669559719263655,4,,
35.csv,1,0,0.0,1.0,0.012368738794775163,2,,
60.csv,0,0,0.0,0.9975500204164965,,1,,
89.csv,0,0,0.0,0.9974424552429667,,2,,
12.csv,1,1,0.0,1.0,0.07187052326419205,39,,
79.csv,1,1,0.0,1.0,0.21114644540168764,109,,
18.csv,1,1,0.0,1.0,0.025374583993943812,13,,
32.csv,0,0,0.0,0.9995916700694161,,1,,
88.csv,0,1,0.0,0.9166955918083999,,133,,
6.csv,0,1,0.0,0.9913232104121475,,6,,
4.csv,1,0,0.0,1.0,0.00739591289168048,4,,
56.csv,0,1,0.0,0.9843205574912892,,16,,
90.csv,1,1,0.0,1.0,0.0507959464680185,11,,
1.csv,0,0,0.0,0.995835261453031,,2,,
31.csv,1,1,0.0,1.0,0.12595685162911244,124,,
67.csv,1,1,0.0,1.0,0.011911388585352662,20,,
20.csv,0,0,0.0,0.9984573852680293,,1,,
64.csv,0,1,0.0,0.990923651895355,,10,,
50.csv,0,0,0.0,0.9913219554527046,,5,,
30.csv,1,1,0.0,1.0,0.20517242035501518,377,,
16.csv,1,1,0.0,1.0,0.059767520811236464,13,,
41.csv,0,1,0.0,0.9945984030061061,,6,,
29.csv,0,0,0.0,0.9956616052060737,,3,,
62.csv,0,0,0.0,1.0,,0,,
85.csv,0,1,0.0,0.8359621451104101,,25,,
66.csv,1,1,0.0,1.0,0.4070012735525585,523,,
37.csv,0,1,0.0,0.8419763168640262,,57,,
57.csv,0,0,0.0,0.9820334830543079,,3,,
