source_file,has_anomaly,alarm,F1_2_dataset,Acc_dataset,WS_dataset,criticality_max,PR_AUC_dataset,ROC_AUC_dataset
58.csv,1,1,0.06329113924050633,0.9705567451820128,0.5238095238095238,14,0.30368589743589747,0.9937901498929336
63.csv,1,1,0.3225806451612903,0.9956502827316225,0.7333333333333334,6,0.3692099567099567,0.9976801507901986
44.csv,1,1,0.4891922639362912,0.9491386382280558,0.5998393108219697,175,0.49395250366429166,0.9424159087482445
36.csv,1,1,0.013003901170351105,0.8686587908269632,0.425,40,0.12300416027699237,0.978318276580959
61.csv,1,1,0.5835240274599542,0.9870923913043478,0.6414029429550493,10,0.9419605603165004,0.9987377549651101
9.csv,1,1,0.2351313969571231,0.8356248090436909,0.690626080940851,89,0.41047729332347704,0.947339705818166
80.csv,1,0,0.30303030303030304,0.997870528109029,0.42857142857142855,2,0.3397243107769423,0.9963373083475298
55.csv,1,1,0.4425612052730697,0.9779270633397313,0.7370588235294118,14,0.6253649701868464,0.9949007362420146
47.csv,1,1,0.061206645292917514,0.47522816166883963,0.9694602272727275,204,0.8460410116632032,0.9946181134592644
15.csv,1,1,0.17341040462427745,0.9739258171134778,0.8181818181818183,11,0.5446193009162934,0.9961701904412151
65.csv,1,1,0.03333333333333333,0.9677804295942721,0.6,28,0.14534335839598997,0.98587907716786
81.csv,1,0,0.26548672566371684,0.9975124378109452,0.06708433734939759,2,0.7772627301013291,0.9650492517333014
76.csv,1,1,0.4513888888888889,0.7477611940298508,0.7809698919788555,101,0.9507350628959594,0.9915062843676354
5.csv,1,1,0.7441860465116279,0.93125,0.503127763041556,8,0.9343759849464921,0.9615093659942363
59.csv,0,0,0.0,0.9967117281695287,,3,,
49.csv,1,1,0.7875678937839469,0.97224709042077,0.44798841774090264,23,0.9376290081983143,0.9910932182134076
48.csv,1,1,0.30864197530864196,0.9897323065639897,1.0,6,0.9999999999999999,1.0
94.csv,1,1,0.22355814390381365,0.5818930041152264,0.8196922642574815,900,0.9697737823424446,0.9966836905671506
75.csv,1,1,0.6513157894736842,0.9811482433590403,0.9867549668874173,10,0.8904026229149331,0.9981348186232505
78.csv,1,1,0.6993006993006993,0.9150197628458498,1.0,10,0.9550473786182414,0.9952569169960475
91.csv,1,1,0.18836061314627175,0.347947500698129,0.9125641025641025,1969,0.40717430916484754,0.8170052866454945
11.csv,1,1,0.5150853513298929,0.5298472929199445,0.6660587217746752,417,0.6436810784191687,0.5814081991113234
39.csv,1,1,0.5795225769341387,0.48955223880597015,0.8165655912239561,141,0.6328621283334173,0.7710982311781135
70.csv,1,1,0.5040322580645161,0.9277743335399876,0.8067596431712527,97,0.9139599349972568,0.9901482498351686
54.csv,1,1,0.1694915254237288,0.9926934573231485,0.33766233766233766,11,0.13199243080134174,0.957180813208711
28.csv,1,1,0.6975933031042902,0.9431104543775397,0.5433282208588956,27,0.9749533358944146,0.9946182650998123
93.csv,1,1,0.3202846975088968,0.9871638141809291,0.4910226385636222,10,0.7220844942548994,0.9932166497704097
46.csv,1,0,0.37037037037037035,0.998443579766537,0.625,1,0.5825825825825826,0.9954604409857328
43.csv,1,1,0.07352941176470588,0.9880262649671688,0.42857142857142855,6,0.6838235294117647,0.9984550019312476
8.csv,0,1,0.0,0.9339875111507583,,18,,
33.csv,1,1,0.6743890828308473,0.9653098982423681,0.3414154033088708,30,0.8576135408904659,0.9382670902750372
35.csv,1,1,0.5241935483870968,0.9325025960539979,0.34676374681734934,14,0.8497511173747375,0.9816914355753026
60.csv,1,1,0.3782894736842105,0.9817654372150849,0.6888888888888889,9,0.5859473704218566,0.9870493162038956
89.csv,1,1,0.0020764119601328905,0.1207464324917673,1.0,2075,0.05287073293013397,0.9844493230881816
12.csv,1,1,0.6834910620399579,0.9553380238605078,0.9413445320298786,18,0.9125673990863934,0.9887706842785179
79.csv,1,1,0.6994219653179191,0.8916666666666667,1.0,18,0.9936494487728758,0.9988292011019284
18.csv,1,1,0.29932546374367625,0.9749455337690632,0.0875690383365822,9,0.9586947221665791,0.9860162995239248
32.csv,0,1,0.0,0.8693344222131483,,105,,
88.csv,1,1,0.16129032258064516,0.8820101966496723,0.3811153174140944,150,0.14579666526639642,0.691661945995522
6.csv,1,1,0.44642857142857145,0.9916705229060621,0.17012288786482332,12,0.8503555968111065,0.9956906524757057
4.csv,1,1,0.2668759811616955,0.8471910112359551,0.6362652898149855,170,0.4129066260258992,0.824507359721321
56.csv,1,1,0.33962264150943394,0.9482678983833718,0.5264378478664193,63,0.7512085718901846,0.9883574564109796
90.csv,1,1,0.24490336245697644,0.6586856851757514,0.4369237195217459,337,0.5121053351168092,0.7251149058706519
1.csv,1,1,0.33073929961089493,0.9808052434456929,0.6174636174636177,11,0.4898530344555245,0.9884644194756554
31.csv,1,1,0.8780006576783953,0.9773462783171522,0.6319070912415022,10,0.9954752950852528,0.9976513750984546
67.csv,1,1,0.5096222380612973,0.9829689298043729,0.5337756052141527,13,0.9353027908262389,0.9982912114631833
20.csv,1,1,0.6672760511882998,0.9824980111376292,0.8995762711864407,9,0.8783857315004159,0.9968127851122323
