sample_idx,feature,importance,rank
10024,sensor_40_avg,20.372541427612305,1
10024,sensor_40_max,20.270000457763672,2
10024,sensor_61_max,20.211572647094727,3
10024,sensor_61_avg,20.19215965270996,4
10024,sensor_40_min,20.165546417236328,5
10024,sensor_61_min,20.08686065673828,6
10024,sensor_218_max,14.066559791564941,7
10024,sensor_218_avg,14.038240432739258,8
10024,sensor_218_min,13.913674354553223,9
10024,sensor_203_max,12.328070640563965,10
10024,sensor_203_min,12.320432662963867,11
10024,sensor_203_avg,12.297707557678223,12
10024,sensor_36_avg,10.235623359680176,13
10024,sensor_38_avg,10.235308647155762,14
10024,sensor_37_avg,9.93285083770752,15
10025,sensor_40_avg,20.13191795349121,1
10025,sensor_40_max,20.014997482299805,2
10025,sensor_61_max,19.960834503173828,3
10025,sensor_40_min,19.923267364501953,4
10025,sensor_61_avg,19.921207427978516,5
10025,sensor_61_min,19.809730529785156,6
10025,sensor_218_max,13.824267387390137,7
10025,sensor_218_avg,13.794648170471191,8
10025,sensor_218_min,13.648926734924316,9
10025,sensor_203_min,12.319122314453125,10
10025,sensor_203_max,12.31258487701416,11
10025,sensor_203_avg,12.282270431518555,12
10025,sensor_38_avg,10.000090599060059,13
10025,sensor_36_avg,9.987736701965332,14
10025,sensor_37_avg,9.74314022064209,15
10027,sensor_40_avg,19.898643493652344,1
10027,sensor_40_max,19.820327758789062,2
10027,sensor_40_min,19.732898712158203,3
10027,sensor_61_max,19.72556495666504,4
10027,sensor_61_avg,19.709518432617188,5
10027,sensor_61_min,19.612503051757812,6
10027,sensor_218_max,13.778122901916504,7
10027,sensor_218_avg,13.770185470581055,8
10027,sensor_218_min,13.667616844177246,9
10027,sensor_203_max,12.328431129455566,10
10027,sensor_203_min,12.289240837097168,11
10027,sensor_203_avg,12.24987506866455,12
10027,sensor_38_avg,10.158761024475098,13
10027,sensor_36_avg,10.157745361328125,14
10027,sensor_37_avg,9.940877914428711,15
26667,sensor_230_std,15.589767456054688,1
26667,sensor_88_std,13.967952728271484,2
26667,sensor_60_avg,10.411235809326172,3
26667,sensor_59_avg,10.410618782043457,4
26667,sensor_58_avg,10.23645305633545,5
26667,sensor_141_max,8.285001754760742,6
26667,sensor_140_max,8.174032211303711,7
26667,sensor_139_max,8.081012725830078,8
26667,sensor_141_avg,7.997552871704102,9
26667,sensor_140_avg,7.987435817718506,10
26667,sensor_139_avg,7.97770881652832,11
26667,sensor_140_min,7.844471454620361,12
26667,sensor_139_min,7.834972858428955,13
26667,sensor_141_min,7.817119121551514,14
26667,reactive_power_121_std,7.3684186935424805,15
39755,sensor_72_max,16.821765899658203,1
39755,sensor_71_max,16.813539505004883,2
