source_file,has_anomaly,alarm,F1_2_dataset,Acc_dataset,WS_dataset,criticality_max,PR_AUC_dataset,ROC_AUC_dataset
58.csv,1,0,0.0,1.0,0.0,0,0.49583333333333335,0.9977516059957173
63.csv,1,0,0.0,1.0,0.0,0,0.2971721036283447,0.9906481078729882
44.csv,1,0,0.0,1.0,0.0,0,0.5106910184439745,0.9675005253291767
36.csv,1,0,0.0,0.9989576094510076,0.0,3,0.30546915669126623,0.9950312717164698
61.csv,1,0,0.0,1.0,0.0,0,0.8055520907971392,0.9909755770263017
9.csv,1,0,0.0,1.0,0.0,0,0.3106782603703526,0.9278418975289473
80.csv,1,0,0.0,1.0,0.0,0,0.8111111111111111,0.9993185689948892
55.csv,1,0,0.0,0.9996801023672425,0.0,1,0.5147583339108784,0.9891760009931151
47.csv,1,0,0.0,1.0,0.0,0,0.745739085497916,0.9899032776447045
15.csv,1,0,0.0,1.0,0.0,0,0.47682384694329405,0.9912911179896123
65.csv,1,0,0.0,1.0,0.0,0,0.4301638176638176,0.9957736674622116
81.csv,1,0,0.0,1.0,0.0,0,0.5551186613881958,0.921806629503087
76.csv,1,0,0.0,1.0,0.0,0,0.9446300591109921,0.9887175962293794
5.csv,1,0,0.15037593984962405,0.996875,0.03946728558797524,1,0.9355856725599012,0.9584924351585014
59.csv,0,0,0.0,1.0,,0,,
49.csv,1,0,0.010141987829614604,1.0,0.00011136787593618626,0,0.9082599430449991,0.9834844648516239
48.csv,1,0,0.0,1.0,0.0,0,0.9999999999999999,1.0
94.csv,1,0,0.047021943573667714,1.0,0.013001129305477132,0,0.9024705536502746,0.9892642189782979
75.csv,1,0,0.0,1.0,0.0,0,0.7784330276914494,0.9952013710368466
78.csv,1,0,0.0,1.0,0.0,0,0.8759077894052137,0.9845355731225297
91.csv,1,0,0.0,1.0,0.0,0,0.6430645483426607,0.9043123743143536
11.csv,1,0,0.14285714285714285,1.0,0.033908530876896936,0,0.8167906415936441,0.8452386639001259
39.csv,1,0,0.0,1.0,0.0,0,0.9353101071953958,0.9760773596804709
70.csv,1,0,0.0,1.0,0.0,0,0.9148364253886809,0.9950353772424448
54.csv,1,0,0.0,1.0,0.0,0,0.4953320365364702,0.9887317929496607
28.csv,1,0,0.029985007496251874,1.0,0.0008925877501760032,0,0.9483390393688691,0.9896411249891474
93.csv,1,0,0.0,1.0,0.0,0,0.5609022677953103,0.9900336931242173
46.csv,1,0,0.0,1.0,0.0,0,0.49107142857142855,0.9976653696498055
43.csv,1,0,0.0,1.0,0.0,0,1.0,1.0
8.csv,0,0,0.0,1.0,,0,,
33.csv,1,0,0.008628127696289905,1.0,0.0007684756019054976,0,0.8478788639450805,0.9484287885448924
35.csv,1,0,0.0,1.0,0.0,0,0.6492800429521156,0.941916483666139
60.csv,1,0,0.0,1.0,0.0,0,0.49045426628817096,0.9886494451351475
89.csv,1,0,0.0,1.0,0.0,0,0.059529724051782876,0.9858214416392244
12.csv,1,0,0.23391812865497075,1.0,0.07431757942927954,0,0.8962754515887151,0.988528602018966
79.csv,1,0,0.04,1.0,0.010959152250701928,0,0.957547080459177,0.9954132231404959
18.csv,1,0,0.041766109785202864,1.0,0.011513157894736841,0,0.9454310761319329,0.9782941983377713
32.csv,0,0,0.0,1.0,,0,,
88.csv,1,0,0.0,1.0,0.0,0,0.2542184017966086,0.9003021229532518
6.csv,1,0,0.0641025641025641,0.999537251272559,0.018433179723502304,1,0.6718834085826512,0.9806930947606561
4.csv,1,0,0.0,1.0,0.0,0,0.48353316146654485,0.8823503295652471
56.csv,1,0,0.0,1.0,0.0,0,0.6320861048472054,0.9698041358884403
90.csv,1,0,0.0,1.0,0.0,0,0.6744511111849546,0.9051728689438078
1.csv,1,0,0.0,1.0,0.0,0,0.6239513613458112,0.9950374531835205
31.csv,1,0,0.006273525721455458,1.0,0.0003474333362286111,0,0.9915268399325948,0.9952772438448072
67.csv,1,0,0.0,1.0,0.0,0,0.802877133474527,0.993458069921181
20.csv,1,0,0.0,1.0,0.0,0,0.7556565739779298,0.992160357693121
64.csv,1,0,0.0,1.0,0.0,0,0.23095238095238094,0.9966131907308378
50.csv,1,0,0.0,1.0,0.0,0,0.10245369686363474,0.9908239157732058
30.csv,1,0,0.0,1.0,0.0,0,0.9658549589853967,0.9599621222757232
16.csv,1,0,0.0,1.0,0.0,0,0.9784467135173599,0.963306829258969
41.csv,1,0,0.0,1.0,0.0,0,0.08592427013479645,0.9949862906384644
29.csv,0,0,0.0,1.0,,0,,
62.csv,0,0,0.0,1.0,,0,,
85.csv,0,0,0.0,1.0,,0,,
66.csv,1,0,0.0,1.0,0.0,0,0.957622623970956,0.9754456664498458
37.csv,0,0,0.0,1.0,,0,,
57.csv,1,0,0.0,1.0,0.0,0,0.5767304131589776,0.9791569590307896
